"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,type_1_diabetes_outofpocket_cost_survey,,text,"Record ID",,,,,,,,,,,,,
consent,type_1_diabetes_outofpocket_cost_survey,"<div class=""rich-text-field-label""><p>You are invited to take part in an online survey about your type 1 diabetes (T1D) costs. It should take approximately 20-25 minutes to complete. You must be at least 18 years old to complete the survey. Primary caregivers (usually parents) may complete the survey for individuals under the age of 18.<br /><br /><span style=""color: #ffffff;""><a style=""color: #ffffff;"" href=""http://www.t1international.com/"" target=""_blank"" rel=""noopener"">T1International</a></span> is conducting this survey. Your participation is completely voluntary. You will receive no money or other financial reward by participating in this survey.<br /><br />Your responses will help build a global picture of diabetes costs, and support advocacy for better access and policy change. There are minimal risks to your privacy in completing this survey. We will not request any information that leads to your identity. Should you provide any information that could lead to your identify in free text fields (open-ended questions), this will be removed before analysis.</p> <p>If you have questions, please email T1International at <span style=""color: #ffffff;""><a style=""color: #ffffff;"" href=""mailto:contact@t1international.com"" target=""_blank"" rel=""noopener"">contact@t1international.com</a></span>.</p></div>",radio,"<div class=""rich-text-field-label""><p style=""line-height: 1.3800000000000001; margin-top: 0pt; margin-bottom: 10pt;"">By clicking ""agree"" below, you are e-signing this form and agree to the following:</p> <ul> <li><span style=""font-weight: normal;"">I have read this information and have had time to consider whether to take part in this study.</span></li> <li style=""line-height: 1.38;""><span style=""font-weight: normal;"">I understand that my participation is voluntary (it is my choice) and that I am free to withdraw from the research study at any time without disadvantage. </span></li> <li style=""line-height: 1.38;""><span style=""font-weight: normal;"">I agree that the data can be used in the publication of scientific and research work.</span></li> <li style=""line-height: 1.38;""><span style=""font-weight: normal;"">I agree that the information collected in this study will be stored in a protected archive where it may be available for future research.</span></li> <li style=""line-height: 1.38;""><span style=""font-weight: normal;"">I understand that by authorizing the use of my personal data obtained in this survey, data privacy laws might not apply or no longer protect my information.</span></li> </ul> <p>I have read this consent form. I understand that I can refuse to participate in this project. I have taken time to think carefully about my decision to participate. I freely consent to share my data with this research project.</p></div>","1, I have read the above information and I agree to participate | 0, I am not interested",,,,,,,y,LV,,,,
age,type_1_diabetes_outofpocket_cost_survey,,radio,"I am 18 years old or older","1, Yes | 0, No",,,,,,,y,,,,,
currency_converter_2,type_1_diabetes_outofpocket_cost_survey," ",descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">In this survey, we will be asking about your out-of-pocket costs. We will ask you to select the currency you use to calculate costs.</span><br /><br /><span style=""font-weight: normal;"">Out-of-pocket costs are the amount you pay from your own funds, including any taxes, fees, or other charges. For more definitions, visit our <a href=""https://www.t1international.com/survey-glossary/"" target=""_blank"" rel=""noopener""> Glossary</a>.<a href="" <font size = ""><br /><br /></a></span>Please complete a separate survey for each person in your household with type 1 diabetes<span style=""font-weight: normal;"">. If completing on behalf of someone with T1D, note that references to ""you/your"" refer to the person with T1D.</span></p></div>",,,,,,,,,,,,,
who_t1d,type_1_diabetes_outofpocket_cost_survey,,radio,"<div class=""rich-text-field-label""><p>What is your connection to type 1 diabetes?</p></div>","0, I have type 1 diabetes | 1, My child has type 1 diabetes | 2, My spouse/partner/significant other has type 1 diabetes | 3, I am a medical professional completing survey on behalf of a specific patient with type 1 diabetes | 4, Prefer not to answer","If completing on behalf of someone with T1D, note that references to ""you/your"" refer to the person with T1D",,,,,,y,LV,,,,
gender_1,type_1_diabetes_outofpocket_cost_survey,,radio,"What is your gender?","0, Male | 1, Female | 2, Non-binary | 3, Other {gender_oth} | 4, Prefer not to answer",,,,,,,y,LV,,,,
gender_oth,type_1_diabetes_outofpocket_cost_survey,,text,"If other, please specify",,,,,,,"[gender_1] = '3'",,LV,,,,
gender_transgender,type_1_diabetes_outofpocket_cost_survey,,radio,"Do you identify as transgender?","1, Yes | 0, No | 2, Prefer not to answer",,,,,,"[gender_1] <>""""",y,LV,,,,
country,type_1_diabetes_outofpocket_cost_survey,,dropdown,"What country do you live in? ","0, Afghanistan | 1, Albania | 2, Algeria | 3, Andorra | 4, Angola | 5, Antigua and Barbuda | 6, Argentina | 7, Armenia | 8, Aruba | 9, Australia | 10, Austria | 11, Azerbaijan | 12, Bahamas, The | 13, Bahrain | 14, Bangladesh | 15, Barbados | 16, Belarus | 17, Belgium | 18, Belize | 19, Benin | 20, Bhutan | 21, Bolivia | 22, Bosnia and Herzegovina | 23, Botswana | 24, Brazil | 25, Brunei | 26, Bulgaria | 27, Burkina Faso | 28, Burma | 29, Burundi | 33, Cabo Verde | 30, Cambodia | 31, Cameroon | 32, Canada | 205, Cayman Islands | 34, Central African Republic | 35, Chad | 36, Chile | 37, China | 38, Colombia | 39, Comoros | 40, Congo, Democratic Republic of the | 41, Congo, Republic of the | 42, Costa Rica | 43, Cote d'lvoire | 44, Croatia | 45, Cuba | 46, Curacao | 47, Cyprus | 48, Czechia | 49, Denmark | 50, Djibouti | 51, Dominica | 52, Dominican Republic | 53, East Timor | 54, Ecuador | 55, Egypt | 56, El Salvador | 57, Equatorial Guinea | 58, Eritrea | 59, Estonia | 60, Ethiopia | 61, Fiji | 62, Finland | 63, France | 64, Gabon | 65, Gambia, The | 66, Georgia | 67, Germany | 68, Ghana | 69, Greece | 70, Grenada | 71, Guatemala | 72, Guinea | 73, Guinea-Bissau | 74, Guyana | 75, Haiti | 76, Holy See | 77, Honduras | 78, Hong Kong | 79, Hungary | 80, Iceland | 81, India | 82, Indonesia | 83, Iran | 84, Iraq | 85, Ireland | 86, Israel | 87, Italy | 88, Jamaica | 89, Japan | 90, Jordan | 91, Kazakhstan | 92, Kenya | 93, Kiribati | 94, Korea, North | 95, Korea, South | 96, Kosovo | 97, Kuwait | 98, Kyrgyzstan | 99, Laos | 100, Latvia | 101, Lebanon | 102, Lesotho | 103, Liberia | 104, Libya | 105, Liechtenstein | 106, Lithuania | 107, Luxembourg | 108, Macau | 109, Macedonia | 110, Madagascar | 111, Malawi | 112, Malaysia | 113, Maldives | 114, Mali | 115, Malta | 116, Marshall Islands | 117, Mauritania | 118, Mauritius | 119, Mexico | 120, Micronesia | 121, Moldova | 122, Monaco | 123, Mongolia | 124, Montenegro | 125, Morocco | 126, Mozambique | 127, Namibia | 128, Nauru | 129, Nepal | 130, Netherlands | 131, New Zealand | 132, Nicaragua | 133, Niger | 134, Nigeria | 135, North Korea | 136, Norway | 137, Oman | 138, Pakistan | 139, Palau | 140, Palestinian Territories | 141, Panama | 142, Papua New Guinea | 143, Paraguay | 144, Peru | 145, Philippines | 146, Poland | 147, Portugal | 148, Qatar | 149, Romania | 150, Russia | 151, Rwanda | 152, Saint Kitts and Nevis | 153, Saint Lucia | 154, Saint Vincent and the Grenadines | 155, Samoa | 156, San Marino | 157, Sao Tome and Principe | 158, Saudi Arabia | 159, Senegal | 160, Serbia | 161, Seychelles | 162, Sierra Leone | 163, Singapore | 164, Sint Maarten | 165, Slovakia | 166, Slovenia | 167, Solomon Islands | 168, Somalia | 169, South Africa | 170, South Korea | 171, South Sudan | 172, Spain | 173, Sri Lanka | 174, Sudan | 175, Suriname | 176, Swaziland | 177, Sweden | 178, Switzerland | 179, Syria | 180, Taiwan | 181, Tajikistan | 182, Tanzania | 183, Thailand | 184, Timor-Leste | 185, Togo | 186, Tonga | 187, Trinidad and Tobago | 188, Tunisia | 189, Turkey | 190, Turkmenistan | 191, Tuvalu | 192, Uganda | 193, Ukraine | 194, United Arab Emirates | 195, United Kingdom | 196, United States of America | 197, Uruguay | 198, Uzbekistan | 199, Vanuatu | 200, Venezuela | 201, Vietnam | 202, Yemen | 203, Zambia | 204, Zimbabwe",,,,,,,y,LV,,,,
race,type_1_diabetes_outofpocket_cost_survey,,checkbox,"Which of these do you identify with? (Choose all that apply)
Note: our surveys are global, so we have chosen very broad categories to cover as many identities as possible, with the option to write in yours specifically.
","1, Asian | 2, Black/African/African American | 3, Hispanic/Latino/Mestizo | 4, Indigenous | 5, Middle Eastern/North African | 6, White/Caucasian | 7, Other {multiracial_other} | 8, Prefer not to answer",,,,,,,y,LV,,,," @NONEOFTHEABOVE=""8"""
