renamed_column	initial_name_column
id	Record ID
survey_id	Survey Identifier
timestamp	Survey Timestamp
consent	"By clicking 'agree' below, you are e-signing this form and agree to the following:  I have read this information and have had time to consider whether to take part in this study. I understand that my participation is voluntary (it is my choice) and that I am free to withdraw from the research study at any time without disadvantage.  I agree that the data can be used in the publication of scientific and research work. I agree that the information collected in this study will be stored in a protected archive where it may be available for future research. I understand that by authorizing the use of my personal data obtained in this survey, data privacy laws might not apply or no longer protect my information.  I have read this consent form. I understand that I can refuse to participate in this project. I have taken time to think carefully about my decision to participate. I freely consent to share my data with this research project."
major	I am 18 years old or older
T1con	What is your connection to type 1 diabetes?
gender	What is your gender?
gender_other_desc	"If other, please specify"
gender_transgender	Do you identify as transgender?
country_name	What country do you live in? 
race_asian	"Which of these do you identify with? (Choose all that apply)  Note: our surveys are global, so we have chosen very broad categories to cover as many identities as possible, with the option to write in yours specifically.   (choice=Asian)"
race_black	"Which of these do you identify with? (Choose all that apply)  Note: our surveys are global, so we have chosen very broad categories to cover as many identities as possible, with the option to write in yours specifically.   (choice=Black/African/African American)"
race_hisp	"Which of these do you identify with? (Choose all that apply)  Note: our surveys are global, so we have chosen very broad categories to cover as many identities as possible, with the option to write in yours specifically.   (choice=Hispanic/Latino/Mestizo)"
race_indig	"Which of these do you identify with? (Choose all that apply)  Note: our surveys are global, so we have chosen very broad categories to cover as many identities as possible, with the option to write in yours specifically.   (choice=Indigenous)"
race_mideast	"Which of these do you identify with? (Choose all that apply)  Note: our surveys are global, so we have chosen very broad categories to cover as many identities as possible, with the option to write in yours specifically.   (choice=Middle Eastern/North African)"
race_white	"Which of these do you identify with? (Choose all that apply)  Note: our surveys are global, so we have chosen very broad categories to cover as many identities as possible, with the option to write in yours specifically.   (choice=White/Caucasian)"
race_other	"Which of these do you identify with? (Choose all that apply)  Note: our surveys are global, so we have chosen very broad categories to cover as many identities as possible, with the option to write in yours specifically.   (choice=Other {multiracial_other})"
race_pnta	"Which of these do you identify with? (Choose all that apply)  Note: our surveys are global, so we have chosen very broad categories to cover as many identities as possible, with the option to write in yours specifically.   (choice=Prefer not to answer)"
race_other_desc	"If other race, please specify:"
currency	What currency do you use?
currency_other_desc	"If your currency, please specify"
currency_other_desc_manual	/
coverage	Do you have health coverage that covers the cost of your diabetes medication and supplies?   (Choose the answer the best describes your situation)
help_no	"Do you receive any help to pay for your insulin, diabetes supplies, or care?   (Choose all that apply) (choice=No)"
help_famfriends	"Do you receive any help to pay for your insulin, diabetes supplies, or care?   (Choose all that apply) (choice=Yes, support from family and friends)"
help_charity	"Do you receive any help to pay for your insulin, diabetes supplies, or care?   (Choose all that apply) (choice=Yes, charities/religious/non-profit programs)"
help_donation	"Do you receive any help to pay for your insulin, diabetes supplies, or care?   (Choose all that apply) (choice=Yes, donations (including online platforms like GoFundMe))"
help_gov	"Do you receive any help to pay for your insulin, diabetes supplies, or care?   (Choose all that apply) (choice=Yes, government assistance/benefit programs)"
help_pharma	"Do you receive any help to pay for your insulin, diabetes supplies, or care?   (Choose all that apply) (choice=Yes, pharmaceutical company assistance programs)"
help_other	"Do you receive any help to pay for your insulin, diabetes supplies, or care?   (Choose all that apply) (choice=Other {help_type_oth})"
help_pnta	"Do you receive any help to pay for your insulin, diabetes supplies, or care?   (Choose all that apply) (choice=Prefer not to answer)"
help_other_desc	"If other, please describe"
payOoPE_none	"In the past year, have you had to do any of the following to pay for your out-of-pocket costs for your medication and/or supplies? (Choose all that apply) (choice=None of these)"
payOoPE_savings	"In the past year, have you had to do any of the following to pay for your out-of-pocket costs for your medication and/or supplies? (Choose all that apply) (choice=Use savings)"
